ciudad,cve_ent,year,Porcentaje de vivienda con disposición adecuada de residuos,Existencia de aprovechamiento o quema de biogás en rellenos sanitarios,Porcentaje de las vivienda que regalan o venta de residuos reciclables,Porcentaje de las viviendas que realizan separación básica de residuos,Índice de disponibilidad de acuíferos,Consumo de agua (Metros cúbicos per cápita),Índice de calidad del agua superficial,Capacidad de tratamiento de agua en operación,Número de emergencias ambientales reportadas,Índice de Resiliencia a desastres naturales,Número de declaratorias de desastre en los últimos tres años ,Intensidad energética en la economía  (KWh al año por cada millón de PIB),Porcentaje de viviendas que cuentan con electricidad o boiler,"Número de empresas certificadas como ""limpia"" (de cada mil)",Índice de gestión de calidad del aire,Porcentaje de hogares con Agua surtida por pipas,Áreas verdes urbanas per cápita (m2 por habitante),Viviendas intraurbanas (porcentaje de las viviendas vigentes),Viviendas deshabitadas (porcentaje de las viviendas vigentes),Crecimiento de la mancha urbana (Tasa promedio de crecimiento anual),"Sistema de transporte masivo (no hay,  aprobado, en construcción, listo)",Red carretera avanzada (porcentaje del total de la red),Número de aerolineas que operan en ele aeropuerto,Número de líneas de autobús,Porcentaje de fondos federales para movilidad (transporte no motorizado),Porcentaje de las personas que viajan a la escuela o el trabajo en automóvil particular ,Porcentaje de personas que llegan a la escuela o al trabajo en menos de 30 minutos 
Rioverde-Ciudad Fernández,San Luis Potosi,2008,0.76,0,0.64,0.43,3.06,75.22,4.67,0,1,75,0,53949.41,0.02,0,1,0,0.22,0.09,0.21,0,2,0.49,0,0,0.05,0.22,0.93
San Luis Potosí-Soledad,San Luis Potosi,2008,0.98,0,0.53,0.4,2.02,94.92,4.33,1.46,2,100,0,19308.99,0.06,1.21,3,0,3.01,0.43,0.19,0.01,0,0.93,13,15,0,0.35,0.77
Los Mochis,Sinaloa,2008,0.95,0,0.38,0.21,3,135.13,4.67,1.72,1,100,5,34989.02,0.01,0.48,0,0,0.92,0.39,0.21,0.01,2,0,3,2,0,0.39,0.85
Culiacán,Sinaloa,2008,0.96,1,0.32,0.19,2.44,194.8,4.67,2.38,1,100,0,35099.11,0.01,0.27,1,0.01,1.32,0.32,0.22,0.01,0,0,8,2,0.04,0.42,0.81
Mazatlán,Sinaloa,2008,0.97,0,0.43,0.27,3,352.67,4,2.37,1,100,0,29627.16,0.01,1.19,0,0.01,0.78,0.43,0.22,0.01,2,0,13,4,0,0.3,0.81
Ciudad Obregón ,Sonora,2008,0.96,0,0.37,0.21,2.02,253.96,2.67,1.31,1,100,3,32472.13,0.01,0.29,1,0,0.23,0.44,0.21,0.01,2,0,5,4,0,0.36,0.85
Guaymas,Sonora,2008,0.87,0,0.35,0.23,2,76.18,3,2.21,0,100,6,38826.66,0.01,1.06,1,0.03,0.02,0.31,0.22,0.01,2,0,1,7,0,0.32,0.83
Hermosillo,Sonora,2008,0.98,0,0.41,0.24,2.08,810.15,4.33,0.3,2,100,0,18207.68,0.01,0.65,1,0.01,0.12,0.39,0.21,0.01,0,0,12,7,0,0.51,0.82
Cárdenas,Tabasco,2008,0.49,0,0.45,0.32,3.78,93.15,4,1.18,9,75,2,1511.92,0,0.81,2,0,0.23,0.15,0.12,0,2,0.38,0,0,0.13,0.15,0.82
Villahermosa,Tabasco,2008,0.93,0,0.29,0.26,4,102.68,4,0.47,1,75,4,11738.31,0.01,0.64,2.5,0.01,0.18,0.12,0.17,0,0,0.71,15,3,0.07,0.25,0.71
Tampico-Pánuco,Tamaulipas,2008,0.91,0,0.35,0.27,3.67,98.47,4.33,1.64,18,85,14,23879.66,0.01,0.87,1.2,0,0.79,0.48,0.2,0,0,0.79,11,6,0.01,0.24,0.77
Matamoros,Tamaulipas,2008,0.92,0,0.39,0.2,3,101.53,3.67,0.33,3,100,2,38548.59,0.01,34.88,1,0,0.97,0.72,0.24,0,2,0.75,4,0,0.02,0.41,0.78
Nuevo Laredo,Tamaulipas,2008,1,0,0.5,0.27,3.12,96.92,4,2.79,2,100,1,42434.69,0.03,0.23,1,0,1.12,0.61,0.23,0,2,0.73,3,5,0.01,0.52,0.82
Reynosa-Río Bravo,Tamaulipas,2008,0.96,0,0.36,0.21,3,88.96,3.67,1.04,15,100,4,19924.68,0.01,6.74,1,0,1.19,0.48,0.26,0.01,0,0.54,6,2,0,0.35,0.77
Ciudad Victoria,Tamaulipas,2008,0.97,0,0.43,0.21,2.17,29.02,4.33,2.3,4,100,0,33780.31,0.01,0,1,0.01,1.12,0.39,0.16,0.01,2,0.68,2,2,0,0.49,0.86
Tlaxcala-Apizaco,Tlaxcala,2008,0.98,0,0.6,0.53,3,82.01,2.33,0.97,0,90.79,0,34410.34,0.06,3.03,2.11,0,0.35,0.89,0.21,0,2,0.71,0,0,0.01,0.17,0.79
Veracruz,Veracruz,2008,0.95,0,0.51,0.39,3,107.89,3.67,1.72,3,90,15,28429.64,0.01,1.33,1.2,0,0.47,0.13,0.26,0.02,0,0.85,17,1,0,0.24,0.73
Córdoba,Veracruz,2008,0.96,0,0.59,0.5,2.89,24.22,3.67,0.23,0,81.25,2,12976.7,0.02,0.61,1,0,0.21,0.31,0.15,0,2,0.91,0,0,0.07,0.17,0.81
Orizaba,Veracruz,2008,0.91,0,0.62,0.59,2.31,114.08,3.33,1.86,3,72.92,5,20772.59,0.02,1.27,1.08,0,0.3,0.28,0.14,0,2,0.85,0,5,0.02,0.13,0.8
Xalapa,Veracruz,2008,0.98,0,0.5,0.5,3.05,98.13,4,0.05,0,89.29,10,16324.13,0.01,0.18,1.29,0,0.63,0.26,0.18,0,0,0.94,2,0,0.04,0.22,0.75
