ciudad,cve_ent,year,Porcentaje de vivienda con disposición adecuada de residuos,Existencia de aprovechamiento o quema de biogás en rellenos sanitarios,Porcentaje de las vivienda que regalan o venta de residuos reciclables,Porcentaje de las viviendas que realizan separación básica de residuos,Índice de disponibilidad de acuíferos,Consumo de agua (Metros cúbicos per cápita),Índice de calidad del agua superficial,Capacidad de tratamiento de agua en operación,Número de emergencias ambientales reportadas,Índice de Resiliencia a desastres naturales,Número de declaratorias de desastre en los últimos tres años ,Intensidad energética en la economía  (KWh al año por cada millón de PIB),Porcentaje de viviendas que cuentan con electricidad o boiler,"Número de empresas certificadas como ""limpia"" (de cada mil)",Índice de gestión de calidad del aire,Porcentaje de hogares con Agua surtida por pipas,Áreas verdes urbanas per cápita (m2 por habitante),Viviendas intraurbanas (porcentaje de las viviendas vigentes),Viviendas deshabitadas (porcentaje de las viviendas vigentes),Crecimiento de la mancha urbana (Tasa promedio de crecimiento anual),"Sistema de transporte masivo (no hay,  aprobado, en construcción, listo)",Red carretera avanzada (porcentaje del total de la red),Número de aerolineas que operan en ele aeropuerto,Número de líneas de autobús,Porcentaje de fondos federales para movilidad (transporte no motorizado),Porcentaje de las personas que viajan a la escuela o el trabajo en automóvil particular ,Porcentaje de personas que llegan a la escuela o al trabajo en menos de 30 minutos 
Guaymas,Sonora,2012,0.87,0,0.35,0.23,2,71.83,3.67,3.27,10,100,4,35625.07,0.01,1.84,1,0.16,0.02,0.31,0.22,0.01,2,0,1,7,0,0.32,0.83
Hermosillo,Sonora,2012,0.98,0,0.41,0.24,2.08,289.99,4.33,0.45,23,100,2,11154.53,0.01,0.54,1,0,0.12,0.39,0.21,0.01,1,0,12,7,0,0.51,0.82
Cárdenas,Tabasco,2012,0.49,0,0.45,0.32,3.78,87.75,4,1.5,4,75,4,901.63,0,3.52,2,0.01,0.23,0.15,0.12,0,2,0.71,0,0,0.13,0.15,0.82
Villahermosa,Tabasco,2012,0.93,0,0.29,0.26,4,94.04,4,1,6,75,10,12403.15,0.01,1.74,2.5,0,0.18,0.12,0.17,0,1,0.67,15,3,0.07,0.25,0.71
Tampico-Pánuco,Tamaulipas,2012,0.91,0,0.35,0.27,3.67,94.16,3.67,2.91,18,85,21,22380.86,0.01,2.37,1.2,0,0.79,0.48,0.2,0,1,0.82,11,6,0.01,0.24,0.77
Matamoros,Tamaulipas,2012,0.92,0,0.39,0.2,3,96.81,3.67,0.87,3,100,5,39934.16,0.01,2.87,1,0,0.97,0.72,0.24,0,0,0.79,4,0,0.02,0.41,0.78
Nuevo Laredo,Tamaulipas,2012,1,0,0.5,0.27,3.12,92.54,4,4.07,0,100,3,36659.67,0.03,0.48,1,0,1.12,0.61,0.23,0,2,0.68,3,5,0.01,0.52,0.82
Reynosa-Río Bravo,Tamaulipas,2012,0.96,0,0.36,0.21,3,82.16,3.67,1.97,8,100,9,25549.51,0.01,3.09,1,0,1.19,0.48,0.26,0.01,1,0.62,6,2,0,0.35,0.77
Ciudad Victoria,Tamaulipas,2012,0.97,0,0.43,0.21,2.17,27.15,4.67,3.77,1,100,4,38655.58,0.01,0,1,0,1.12,0.39,0.16,0.01,2,0.72,2,2,0,0.49,0.86
Tlaxcala-Apizaco,Tlaxcala,2012,0.98,0,0.6,0.53,3,85.45,2.33,1.28,2,90.79,11,23613.92,0.06,7.16,2.11,0,0.35,0.89,0.21,0,0,0.75,0,0,0.01,0.17,0.79
Veracruz,Veracruz,2012,0.95,0,0.51,0.39,3,103.74,3,3.82,4,90,21,25907.59,0.01,0.96,1.2,0.01,0.47,0.13,0.26,0.02,1,0.86,17,1,0,0.24,0.73
Córdoba,Veracruz,2012,0.96,0,0.59,0.5,2.89,22.65,2.67,0.15,1,81.25,12,11891.46,0.02,0,1,0,0.21,0.31,0.15,0,2,0.87,0,0,0.07,0.17,0.81
Orizaba,Veracruz,2012,0.91,0,0.62,0.59,2.31,108.27,2.33,2.86,4,72.92,52,15534.74,0.02,2.51,1.08,0.01,0.3,0.28,0.14,0,2,0.83,0,5,0.02,0.13,0.8
Xalapa,Veracruz,2012,0.98,0,0.5,0.5,3.05,45.06,2.67,2.17,3,89.29,49,17951.32,0.01,0.18,1.29,0,0.63,0.26,0.18,0,0,0.94,2,0,0.04,0.22,0.75
Poza Rica,Veracruz,2012,0.75,0,0.58,0.42,3,72.76,3,0.14,39,65,30,25048.9,0.01,2.58,1.2,0.05,0.12,0.01,0.12,0,0,0.86,5,0,0.06,0.17,0.8
Coatzacoalcos,Veracruz,2012,0.98,0,0.38,0.32,3.02,9.52,3.67,1.05,5,91.67,23,13175.87,0.01,1.08,1,0,0.2,0.05,0.2,0,2,0.86,0,0,0.05,0.17,0.76
Mérida,Yucatan,2012,0.93,1,0.68,0.68,3,172.82,4.33,0.48,3,90,0,12629.06,0.01,1.28,0.4,0,5.12,0.32,0.21,0.01,1,0.5,16,2,0.07,0.37,0.72
Zacatecas-Guadalupe,Zacatecas,2012,0.99,0,0.52,0.41,2,88.21,3,1.23,3,100,15,27291.53,0.18,0.9,3,0,1.9,0.21,0.21,0.01,2,0.8,7,1,0.04,0.4,0.84
Aguascalientes,Aguascalientes,2013,1,1,0.65,0.5,2,103.77,2.33,3.8,3,100,6,13711.82,0.16,0.83,2,0,4.8,0.35,0.2,0,1,0.68,7,10,0.01,0.35,0.81
Ensenada,Baja California,2013,0.92,0,0.49,0.27,2.11,119.94,2.67,1.83,5,100,0,27865.07,0.04,0.7,4,0.04,0.94,0.36,0.23,0,2,0.46,0,5,0,0.42,0.83
Mexicali,Baja California,2013,0.97,0,0.42,0.18,2.02,33.6,2.33,3.17,7,100,0,39051.22,0.01,2.08,6,0,1.78,0.4,0.23,0.01,2,0.84,3,7,0.02,0.57,0.81
Tijuana,Baja California,2013,0.97,1,0.44,0.24,2.13,52.37,2.33,2.02,13,100,0,19690.04,0.04,1.04,6,0.01,1.16,0.24,0.24,0,2,0.47,5,9,0.02,0.4,0.73
La Paz,Baja California Sur,2013,0.97,0,0.36,0.21,2.08,81.61,4,1.79,3,100,6,38839.23,0.02,0.22,1,0.01,0.29,0.12,0.2,0.02,2,0.44,7,2,0.67,0.56,0.85
Los Cabos,Baja California Sur,2013,0.94,0,0.41,0.24,2.01,83.93,4,2.62,0,100,7,33133.98,0.03,0.28,0,0,0.85,0.43,0.27,0.02,2,0.42,19,1,0,0.39,0.79
Campeche,Campeche,2013,0.93,0,0.59,0.4,3,324.85,3.33,0.38,1,100,1,25350.14,0,0,1,0,0.22,0.77,0.16,0.01,2,0.85,3,2,0,0.34,0.76
Ciudad del Carmen,Campeche,2013,0.89,0,0.41,0.34,3.01,107.2,3.67,0.17,1,75,2,13708.54,0.02,10.14,0,0.01,0.27,0.9,0.18,0.01,2,0.66,5,3,0,0.31,0.84
Saltillo,Coahuila,2013,0.97,1,0.54,0.32,2.03,64.07,3.33,1.68,4,91.67,13,4334.06,0.02,1.35,3,0,3.81,0.49,0.18,0,1,0.42,1,0,0,0.36,0.76
Monclova-Frontera,Coahuila,2013,0.99,0,0.4,0.21,2.16,146.06,3.67,0.03,2,100,10,28129.53,0.01,0.25,3,0,2.24,0.98,0.12,0,2,0.29,0,0,0,0.41,0.85
La Laguna,Coahuila,2013,0.93,1,0.64,0.44,2,112,2.67,2.43,5,100,19,11749.99,0.01,0.91,5.5,0,2.61,0.64,0.22,0,1,0.62,5,3,0.01,0.32,0.83
Piedras Negras,Coahuila,2013,0.99,0,0.41,0.21,3,74.47,4.67,1.91,0,100,8,20016.09,0.01,0.47,3,0,1.54,0.48,0.21,0,2,0.65,1,0,0.02,0.42,0.84
Tecomán,Colima,2013,0.94,0,0.42,0.19,3,127.41,3.33,2.47,1,75,14,36996.67,0,3.08,1,0,0.49,0.88,0.17,0.01,2,0.43,0,0,0.02,0.23,0.87
Colima-Villa de Álvarez,Colima,2013,0.99,0,0.62,0.36,2.48,185.56,3.33,3.89,5,95,28,35127.37,0.05,1.08,1.4,0,2.56,0.47,0.22,0.01,2,0.49,3,3,0.05,0.41,0.86
Manzanillo,Colima,2013,0.95,0,0.47,0.28,2.89,16.19,3.67,2.77,0,100,7,50395.42,0.01,1.22,1,0,0.4,0.49,0.25,0.02,2,0.46,8,3,0,0.29,0.82
Tuxtla Gutiérrez,Chiapas,2013,0.96,0,0.46,0.41,3.43,88.04,3,1.13,0,75,4,23000.32,0.01,0,2.67,0.06,1.19,0.3,0.16,0,0,0.54,6,3,0,0.21,0.73
Tapachula,Chiapas,2013,0.74,0,0.56,0.42,3,53.68,4.33,0.75,0,75,3,27959.41,0,0,2,0,0.09,0.26,0.17,0.01,2,0.39,1,3,0.02,0.14,0.85
Chihuahua,Chihuahua,2013,0.99,0,0.5,0.24,2.25,201.86,3,4.27,5,100,19,20324.96,0.02,1.17,2.33,0.01,2.18,0.27,0.21,0.01,3,0.73,9,6,0.04,0.51,0.79
Juárez,Chihuahua,2013,1,1,0.44,0.23,2.09,96.81,3,3.11,4,100,9,23262.1,0.02,2.61,3,0.03,2.01,0.74,0.25,0,2,0.43,5,6,0,0.39,0.73
Valle de México,Ciudad de México,2013,0.99,1,0.47,0.64,2.05,97.69,2.33,0.59,104,94.08,28,5977.95,0.03,0.25,11.96,0.01,1.43,0.41,0.14,0,3,0.62,26,38,0.12,0.19,0.59
Durango,Durango,2013,0.97,1,0.48,0.35,2.28,107.98,2.67,4.46,0,100,8,21872.3,0.1,0.62,4,0,1.75,0.36,0.18,0.02,1,0.57,5,2,0.01,0.32,0.84
Celaya,Guanajuato,2013,0.98,0,0.6,0.36,2,93.42,2.67,1.24,10,91.67,5,17314.94,0.08,0.34,7.33,0,0.55,0.27,0.2,0.01,0,0.39,0,5,0,0.26,0.81
Guanajuato,Guanajuato,2013,0.88,0,0.56,0.37,2,128.02,2.67,1.34,14,100,2,45161.24,0.05,0,10,0,0.44,0.75,0.17,0.01,2,0.59,0,4,0,0.16,0.74
Irapuato,Guanajuato,2013,0.95,0,0.62,0.42,2,101.38,2.33,2.16,304,100,2,24361.75,0.06,0.2,11,0.02,0.04,0.65,0.17,0.01,0,0.36,0,2,0,0.26,0.8
León,Guanajuato,2013,0.99,1,0.64,0.5,2,44.32,1.67,1.58,137,75,4,15475.55,0.08,0.18,11,0.02,1.15,0.35,0.17,0.01,3,0.37,11,8,0,0.28,0.74
La Piedad-Pénjamo,Guanajuato,2013,0.91,0,0.6,0.39,2,51.32,1.67,1.08,66,87.5,5,23130,0.11,0,2.5,0,0.34,0.35,0.24,0,2,0.29,0,1,0,0.24,0.86
San Francisco del Rincón,Guanajuato,2013,0.97,0,0.68,0.43,2,305.05,1.33,1.35,0,100,4,26620.56,0.12,0,6.5,0.01,0.3,0.48,0.2,0.01,2,0.33,0,0,0.01,0.25,0.89
Acapulco,Guerrero,2013,0.8,0,0.52,0.33,3.04,201.81,2.67,2.66,4,62.5,16,36930.76,0,0.16,3,0.01,0.3,0.37,0.29,0,2,0.31,7,9,0,0.11,0.69
Chilpancingo,Guerrero,2013,0.87,0,0.46,0.33,3.1,34.89,2.33,0.96,1,75,8,23566.79,0.01,0,4,0.06,0.07,0.1,0.19,0,2,0.54,0,2,0.01,0.15,0.85
Tula,Hidalgo,2013,0.94,0,0.63,0.45,2.48,83.52,2.67,0,23,100,0,26996.5,0.09,2.99,4,0.01,0.3,0.01,0.23,0,2,0.79,0,4,0,0.21,0.8
Tulancingo,Hidalgo,2013,0.96,0,0.59,0.43,2.22,44.15,3,0.05,10,91.67,3,35511.45,0.06,0,2,0.02,0.16,0.47,0.23,0,2,0.43,0,2,0.05,0.19,0.8
Pachuca,Hidalgo,2013,0.96,0,0.51,0.4,2.07,41.65,2.67,0.01,4,100,7,20136.6,0.07,0.19,4,0,1.34,0.13,0.31,0,2,0.48,0,4,0,0.27,0.77
Guadalajara,Jalisco,2013,1,1,0.49,0.4,2.06,32.87,2.67,2.45,17,96.88,4,12933.22,0.08,1.6,11,0.01,1.47,0.21,0.19,0.01,3,0.6,14,20,0.05,0.29,0.68
Puerto Vallarta,Jalisco,2013,0.99,0,0.46,0.35,3,124.81,3.33,4.02,0,100,2,37396.47,0.01,0.19,3,0,0.45,0.17,0.29,0.01,2,0.61,19,5,0,0.25,0.78
Toluca,Mexico,2013,0.9,0,0.65,0.59,2,59.02,2.67,1.26,5,90,1,9352.94,0.04,2.19,11,0,1.26,0.31,0.17,0.01,1,0.53,4,11,0.03,0.21,0.69
Zamora-Jacona,Michoacan,2013,0.99,0,0.62,0.33,2,46.04,2.67,1.31,0,100,2,17949.02,0.1,0.65,1,0,0.34,0.13,0.22,0.01,2,0.85,0,1,0,0.26,0.86
Morelia,Michoacan,2013,0.96,0,0.58,0.48,2.12,111.44,3,1.62,4,91.67,6,18372.78,0.13,0.33,2.67,0.02,1.89,0.21,0.27,0,0,0.66,6,11,0.02,0.27,0.72
Uruapan,Michoacan,2013,0.98,0,0.52,0.36,3.14,86.93,3,1.28,3,75,0,21047.36,0.06,1.35,1,0,1.53,0.1,0.16,0,2,0.81,1,2,0,0.27,0.82
Cuautla,Morelos,2013,0.94,1,0.67,0.45,2,87.03,3.33,1.99,2,83.33,0,22656.46,0.02,0.46,4,0.05,0.05,0.27,0.3,0,2,0.68,0,1,0,0.17,0.79
Cuernavaca,Morelos,2013,0.96,0,0.68,0.51,2.06,209.49,3,1.54,9,93.75,0,12267.1,0.02,1.15,4.13,0.01,0.73,0.27,0.28,0,0,0.89,1,10,0.04,0.24,0.72
Tepic,Nayarit,2013,0.96,0,0.55,0.31,3,119.23,3.33,3.06,2,100,3,17047.93,0.04,0.31,4,0,0.21,0.24,0.2,0,2,0.27,2,2,0.03,0.3,0.82
Monterrey,Nuevo Leon,2013,0.99,1,0.45,0.24,2.02,38.51,3.33,1.96,28,96.15,43,12932.57,0.01,1.3,9,0,3.16,0.32,0.19,0.01,3,0.72,11,4,0.01,0.37,0.65
Oaxaca,Oaxaca,2013,0.97,0,0.62,0.59,3,75.65,2.67,1.32,2,89.77,37,17970.94,0.02,0,1.18,0.09,0.27,0.11,0.2,0,1,0,8,2,0.01,0.2,0.74
Tehuantepec-Salina Cruz,Oaxaca,2013,0.73,0,0.53,0.42,3,1.96,4,0.13,7,66.67,11,33159.67,0,2.07,1,0.03,0.02,0.46,0.19,0,2,0,0,1,0,0.13,0.87
Puebla-Tlaxcala,Puebla,2013,0.96,1,0.66,0.51,2.88,67.16,1.67,1.04,37,87.18,18,12692.84,0.04,2.06,4.46,0.05,0.64,0.45,0.19,0,3,0.59,5,4,0.01,0.19,0.7
Tehuacán,Puebla,2013,0.93,0,0.64,0.48,3,60.49,2.67,0,1,75,0,13638.9,0.03,0.53,4,0.16,0.27,0.57,0.19,0,2,0,0,0,0,0.13,0.86
Querétaro,Queretaro,2013,0.99,1,0.58,0.47,2.02,87.4,2.67,1.49,16,87.5,4,9861.21,0.07,1.91,5,0,1.28,0.21,0.21,0,1,0.7,5,19,0.01,0.36,0.74
San Juan del Río,Queretaro,2013,0.98,0,0.68,0.46,2,95.2,2.33,1.83,14,100,1,14896.72,0.06,3.08,2,0,0.7,0.51,0.22,0,2,0.71,0,5,0.07,0.24,0.78
Cancún,Quintana Roo,2013,0.95,1,0.52,0.41,3,145.96,3.33,1.97,1,87.5,6,32164.05,0.01,0.15,4,0,2.15,0.3,0.23,0.01,1,0.98,36,1,0.05,0.27,0.7
Chetumal ,Quintana Roo,2013,0.84,0,0.49,0.44,3.09,153.43,3.33,0.77,0,75,3,32821.26,0.02,1.04,4,0,0.2,0.25,0.17,0.01,2,0.37,2,2,0,0.39,0.9
Rioverde-Ciudad Fernández,San Luis Potosi,2013,0.76,0,0.64,0.43,3.06,74.05,3.67,1.09,0,75,9,36579.66,0.02,0,1,0,0.22,0.09,0.21,0,2,0.46,0,0,0.05,0.22,0.93
San Luis Potosí-Soledad,San Luis Potosi,2013,0.98,1,0.53,0.4,2.02,91.03,3,1.74,4,100,5,16330.03,0.06,1.17,3,0.01,3.01,0.43,0.19,0.01,1,0.96,7,15,0,0.35,0.77
Los Mochis,Sinaloa,2013,0.95,1,0.38,0.21,3,125.56,3.33,2.44,1,100,4,30905.43,0.01,1.11,0,0,0.92,0.39,0.21,0.01,2,0.15,5,0,0,0.39,0.85
Culiacán,Sinaloa,2013,0.96,1,0.32,0.19,2.44,183.69,3.33,2.73,13,100,5,31265.38,0.01,0.43,1,0.01,1.32,0.32,0.22,0.01,1,0.39,6,2,0.04,0.42,0.81
Mazatlán,Sinaloa,2013,0.97,0,0.43,0.27,3,314.44,3.33,0.04,0,100,5,28302.15,0.01,1.26,0,0,0.78,0.43,0.22,0.01,2,0.42,14,4,0,0.3,0.81
Ciudad Obregón ,Sonora,2013,0.96,0,0.37,0.21,2.02,237.27,3,3.89,2,100,3,28365.04,0.01,0.28,1,0.01,0.23,0.44,0.21,0.01,2,0,4,0,0,0.36,0.85
Guaymas,Sonora,2013,0.87,0,0.35,0.23,2,71.14,3,3.24,4,100,4,35537.29,0.01,1.52,1,0.16,0.02,0.31,0.22,0.01,2,0,1,7,0,0.32,0.83
Hermosillo,Sonora,2013,0.98,1,0.41,0.24,2.08,275.28,3,0.44,12,100,3,11216.92,0.01,0.7,1,0,0.12,0.39,0.21,0.01,1,0,8,8,0,0.51,0.82
Cárdenas,Tabasco,2013,0.49,0,0.45,0.32,3.78,85.43,3.67,1.49,70,75,5,41159.34,0,5.19,2,0.01,0.23,0.15,0.12,0,2,0.71,0,0,0.13,0.15,0.82
Villahermosa,Tabasco,2013,0.93,0,0.29,0.26,4,94.77,3.67,1.86,6,75,10,12043.36,0.01,1.67,2.5,0,0.18,0.12,0.17,0,1,0.67,8,3,0.07,0.25,0.71
Tampico-Pánuco,Tamaulipas,2013,0.91,0,0.35,0.27,3.67,92.95,3.33,2.78,25,85,26,21565.14,0.01,1.6,1.2,0,0.79,0.48,0.2,0,1,0.82,6,6,0.01,0.24,0.77
Matamoros,Tamaulipas,2013,0.92,0,0.39,0.2,3,95.62,3.67,0.86,8,100,3,39378.22,0.01,1.58,1,0,0.97,0.72,0.24,0,0,0.79,2,3,0.02,0.41,0.78
Nuevo Laredo,Tamaulipas,2013,1,1,0.5,0.27,3.12,91.81,4.33,4.04,5,100,2,34628,0.03,0.73,1,0,1.12,0.61,0.23,0,2,0.68,1,5,0.01,0.52,0.82
Reynosa-Río Bravo,Tamaulipas,2013,0.96,0,0.36,0.21,3,81.16,3.67,2,26,100,6,25262.1,0.01,3.12,1,0,1.19,0.48,0.26,0.01,1,0.62,4,2,0,0.35,0.77
Ciudad Victoria,Tamaulipas,2013,0.97,0,0.43,0.21,2.17,70.15,4,3.72,6,100,5,36851.33,0.01,0.25,1,0,1.12,0.39,0.16,0.01,2,0.72,1,2,0,0.49,0.86
Tlaxcala-Apizaco,Tlaxcala,2013,0.98,0,0.6,0.53,3,84.13,1.67,1,1,90.79,13,23550.46,0.06,3.23,2.11,0,0.35,0.89,0.21,0,0,0.75,0,0,0.01,0.17,0.79
Veracruz,Veracruz,2013,0.95,0,0.51,0.39,3,101.8,3.33,3.72,4,90,17,27170.58,0.01,0.67,1.2,0.01,0.47,0.13,0.26,0.02,1,0.86,8,1,0,0.24,0.73
Córdoba,Veracruz,2013,0.96,0,0.59,0.5,2.89,22.22,3.33,0.14,2,81.25,13,11863.42,0.02,0,1,0,0.21,0.31,0.15,0,2,0.87,0,0,0.07,0.17,0.81
Orizaba,Veracruz,2013,0.91,0,0.62,0.59,2.31,106.89,3,2.83,3,72.92,59,14425.82,0.02,0.32,1.08,0.01,0.3,0.28,0.14,0,2,0.83,0,0,0.02,0.13,0.8
Xalapa,Veracruz,2013,0.98,0,0.5,0.5,3.05,44.38,3.33,1.83,4,89.29,57,17638.64,0.01,0,1.29,0,0.63,0.26,0.18,0,0,0.94,1,0,0.04,0.22,0.75
Poza Rica,Veracruz,2013,0.75,1,0.58,0.42,3,72.08,3.33,0.14,17,65,41,24307.36,0.01,1.46,1.2,0.05,0.12,0.01,0.12,0,0,0.86,2,0,0.06,0.17,0.8
Coatzacoalcos,Veracruz,2013,0.98,0,0.38,0.32,3.02,9.42,3,0.76,3,91.67,19,11981.69,0.01,1.92,1,0,0.2,0.05,0.2,0,2,0.86,0,0,0.05,0.17,0.76
Mérida,Yucatan,2013,0.93,1,0.68,0.68,3,170.43,3.33,0.52,2,90,0,12874.87,0.01,0.14,0.4,0,5.12,0.32,0.21,0.01,1,0.5,11,2,0.07,0.37,0.72
Zacatecas-Guadalupe,Zacatecas,2013,0.99,0,0.52,0.41,2,86.26,3,3.02,3,100,13,22400.52,0.18,0.22,3,0,1.9,0.21,0.21,0.01,2,0.8,4,1,0.04,0.4,0.84
Aguascalientes,Aguascalientes,2014,1,1,0.65,0.5,1,101.44,2.67,3.71,3,100,3,8739.18,0.16,1.64,2,0.01,4.8,0.35,0.2,0,1,0.68,7,10,0.01,0.35,0.81
Ensenada,Baja California,2014,0.92,0,0.49,0.27,1.43,118.95,2.67,1.82,5,100,1,27932.63,0.04,0.87,4,0.17,0.94,0.36,0.23,0,2,0.46,0,5,0,0.42,0.83
Mexicali,Baja California,2014,0.97,0,0.42,0.18,1.35,33.24,2.33,3.13,7,100,0,38223.13,0.01,3.91,6,0,1.78,0.4,0.23,0.01,2,0.84,3,7,0.02,0.57,0.81
Tijuana,Baja California,2014,0.97,1,0.44,0.24,1.36,51.85,2,2,13,100,0,19960.27,0.04,1.92,6,0.05,1.16,0.24,0.24,0,2,0.47,5,9,0.02,0.4,0.73
La Paz,Baja California Sur,2014,0.97,0,0.36,0.21,1.94,80.32,3.67,1.76,3,100,14,40309.7,0.02,1.09,1,0.02,0.29,0.12,0.2,0.02,2,0.44,7,2,0.67,0.56,0.85
Los Cabos,Baja California Sur,2014,0.94,0,0.41,0.24,1.39,80.84,3.67,2.53,0,100,12,32151.36,0.03,0.27,0,0.04,0.85,0.43,0.27,0.02,2,0.42,19,1,0,0.39,0.79
Campeche,Campeche,2014,0.93,0,0.59,0.4,3,319.14,3.67,0.37,1,100,1,24052.35,0,0.32,1,0,0.22,0.77,0.16,0.01,2,0.85,3,2,0,0.34,0.76
Ciudad del Carmen,Campeche,2014,0.89,0,0.41,0.34,3.01,104.74,3.67,0.17,1,75,4,14067.62,0.02,17.9,0,0.01,0.27,0.9,0.18,0.01,2,0.66,5,3,0,0.31,0.84
Saltillo,Coahuila,2014,0.97,1,0.54,0.32,1.06,62.6,3.33,1.64,4,91.67,5,9331.08,0.02,2.44,3,0.01,3.81,0.49,0.18,0,1,0.42,1,0,0,0.36,0.76
Monclova-Frontera,Coahuila,2014,0.99,0,0.4,0.21,1.28,144.04,4,0.03,2,100,5,24627.86,0.01,1.47,3,0,2.24,0.98,0.12,0,2,0.29,0,0,0,0.41,0.85
La Laguna,Coahuila,2014,0.93,1,0.64,0.44,1.01,110.79,3.67,2.41,5,100,15,11317.98,0.01,2.44,5.5,0,2.61,0.64,0.22,0,1,0.62,5,3,0.01,0.32,0.83
Piedras Negras,Coahuila,2014,0.99,0,0.41,0.21,3,73.4,4.33,1.88,0,100,8,19730.48,0.01,3.66,3,0,1.54,0.48,0.21,0,2,0.65,1,0,0.02,0.42,0.84
Tecomán,Colima,2014,0.94,0,0.42,0.19,3,125.46,3.67,2.43,1,75,9,33754.48,0,3.9,1,0,0.49,0.88,0.17,0.01,2,0.43,0,0,0.02,0.23,0.87
Colima-Villa de Álvarez,Colima,2014,0.99,0,0.62,0.36,2.48,182.87,3,3.83,5,95,13,35634.99,0.05,1.06,1.4,0,2.56,0.47,0.22,0.01,2,0.49,3,3,0.05,0.41,0.86
Manzanillo,Colima,2014,0.95,0,0.47,0.28,2.89,15.76,3,2.7,0,100,7,50700.33,0.01,3.17,1,0,0.4,0.49,0.25,0.02,2,0.46,8,3,0,0.29,0.82
Tuxtla Gutiérrez,Chiapas,2014,0.96,0,0.46,0.41,3.43,86.4,3.33,1.11,0,75,7,22248.4,0.01,0.34,2.67,0.12,1.19,0.3,0.16,0,0,0.54,6,3,0,0.21,0.73
Tapachula,Chiapas,2014,0.74,0,0.56,0.42,3,52.8,4.33,0.74,0,75,4,27836.39,0,0.79,2,0,0.09,0.26,0.17,0.01,2,0.39,1,3,0.02,0.14,0.85
Chihuahua,Chihuahua,2014,0.99,0,0.5,0.24,1.49,198.87,3.33,4.21,5,100,14,20426.59,0.02,3.13,2.33,0,2.18,0.27,0.21,0.01,3,0.73,9,6,0.04,0.51,0.79
Juárez,Chihuahua,2014,1,1,0.44,0.23,1.22,95.97,2.67,3.08,4,100,8,23037.18,0.02,8.57,3,0.02,2.01,0.74,0.25,0,3,0.43,5,6,0,0.39,0.73
Valle de México,Ciudad de México,2014,0.99,1,0.47,0.64,1.12,96.93,3,0.59,104,94.08,37,5845.07,0.03,0.88,11.96,0.01,1.43,0.41,0.14,0,3,0.62,26,38,0.12,0.19,0.59
Durango,Durango,2014,0.97,1,0.48,0.35,2.23,105.47,3,4.36,0,100,7,21800.01,0.1,1.52,4,0,1.75,0.36,0.18,0.02,1,0.57,5,2,0.01,0.32,0.84
Celaya,Guanajuato,2014,0.98,0,0.6,0.36,1,92.41,3,1.22,10,91.67,3,12078.55,0.08,0.33,7.33,0,0.55,0.27,0.2,0.01,0,0.39,0,5,0,0.26,0.81
Guanajuato,Guanajuato,2014,0.88,0,0.56,0.37,1,126.23,2.67,1.32,14,100,1,26035.95,0.05,0,10,0,0.44,0.75,0.17,0.01,2,0.59,0,4,0,0.16,0.74
Irapuato,Guanajuato,2014,0.95,0,0.62,0.42,1,99.75,2.67,2.13,304,100,1,15955.87,0.06,0.97,11,0.01,0.04,0.65,0.17,0.01,0,0.36,0,2,0,0.26,0.8
León,Guanajuato,2014,0.99,1,0.64,0.5,1.08,43.5,2,1.56,137,75,2,9245.82,0.08,0.23,11,0.02,1.15,0.35,0.17,0.01,3,0.37,11,8,0,0.28,0.74
La Piedad-Pénjamo,Guanajuato,2014,0.91,0,0.6,0.39,1.08,51.13,2.33,1.07,66,87.5,3,18862.77,0.11,0,2.5,0.01,0.34,0.35,0.24,0,2,0.29,0,1,0,0.24,0.86
San Francisco del Rincón,Guanajuato,2014,0.97,0,0.68,0.43,1.28,299.65,1.33,1.33,0,100,2,15277.6,0.12,0,6.5,0,0.3,0.48,0.2,0.01,2,0.33,0,0,0.01,0.25,0.89
Acapulco,Guerrero,2014,0.8,0,0.52,0.33,3.04,200.73,2.33,2.65,4,62.5,22,37675.64,0,0.32,3,0.03,0.3,0.37,0.29,0,2,0.31,7,9,0,0.11,0.69
Chilpancingo,Guerrero,2014,0.87,0,0.46,0.33,3.1,34.05,2.33,0.94,1,75,8,23009.19,0.01,0,4,0.09,0.07,0.1,0.19,0,2,0.54,0,2,0.01,0.15,0.85
Tula,Hidalgo,2014,0.94,0,0.63,0.45,1.96,82.01,3,0,23,100,0,28145.55,0.09,4.28,4,0,0.3,0.01,0.23,0,2,0.79,0,4,0,0.21,0.8
Tulancingo,Hidalgo,2014,0.96,0,0.59,0.43,1.39,43.55,3,0.05,10,91.67,2,30802.7,0.06,0,2,0.01,0.16,0.47,0.23,0,2,0.43,0,2,0.05,0.19,0.8
Pachuca,Hidalgo,2014,0.96,0,0.51,0.4,1.13,40.95,3,0.01,4,100,2,19772.48,0.07,0.19,4,0.01,1.34,0.13,0.31,0,2,0.48,0,4,0,0.27,0.77
Guadalajara,Jalisco,2014,1,1,0.49,0.4,1.22,32.35,3,2.41,17,96.88,8,12731.73,0.08,1.98,11,0.01,1.47,0.21,0.19,0.01,3,0.6,14,20,0.05,0.29,0.68
Puerto Vallarta,Jalisco,2014,0.99,0,0.46,0.35,3,121.98,3.33,3.92,0,100,1,37775.18,0.01,0.18,3,0,0.45,0.17,0.29,0.01,2,0.61,19,5,0,0.25,0.78
