ciudad,robo_mercancias,esc_buenDesempeno,mortalidad_infantil,tasa_suicidios,muerte_infIntes,empl_formales,densidad_pobl,sal_trabTiemCompl,gini_salarial,diversif_econ,desempleo,tarjetasDebCred,pib,ingresos_propios,percepcionSeguridad,desastres,vivendas_deshabitadas,inversion_extranjera,empresas
Chilpancingo,41.61839056,0,10.02587322,2.626464254,1.500836716,0.384772535,67.83134147,5672.415392,0.408,452,0.012387705,3.27500114,7792089.419,0.12020729,0.228106731,0,0.194760563,8.629348847,11.98081553
Tula,29.38654707,0.208737864,9.433962264,4.974359438,0.904428989,0.433598963,29.32522846,6417.501784,0.3794,439,0.060146259,1.581640338,222147015.1,0.25139737,0.400645536,0,0.225873395,106.1056903,13.83901
Tulancingo,90.18861491,0.329861111,13.81934709,3.555260601,0,0.205979532,39.13772203,5258.635301,0.391666667,473,0.071404379,1.326672657,6228808.887,0.190102237,0.400645536,0.00,0.229450781,3.673713877,15.17940718
Pachuca,29.38654707,0.389328063,11.9694115,6.208254056,3.469318443,0.454665643,41.92091091,6602.164587,0.378285714,598,0.0585952,2.212807139,28122785.68,0.484596063,0.400645536,0,0.30964563,15.36458836,22.52628144
Guadalajara,133.0933003,0.224924012,10.47333041,6.146235907,2.373718695,0.540875246,84.82146293,6809.734497,0.403,850,0.054949668,1.8351351,609056590,0.427691611,0.268175212,0,0.186216481,745.2568763,12.46506026
Puerto Vallarta,99.9626835,0.18852459,12.47660636,6.007261578,2.402904631,0.496166189,58.83272179,7941.077592,0.3725,540,0.094315682,1.428870961,29236229.65,0.435969327,0.256733012,0,0.292290512,41.34939393,32.45827538
Toluca,146.2515572,0.260590501,13.68082794,4.810377331,3.752094318,0.460223892,58.72346413,5485.895468,0.3756,736,0.05011251,1.640295992,350364327.4,0.28195483,0.151759674,0,0.168424654,495.6592873,12.07450785
Zamora-Jacona,46.87947168,0,13.30862534,1.903297272,1.903297272,0.433600165,70.9510307,5271.560608,0.3865,480,0.037974544,1.59722262,15577901.45,0.199230691,0.213991693,2,0.221721181,23.0066981,29.30490886
Morelia,91.39776871,0,7.219591082,1.676880734,2.794801223,0.496726392,79.22221999,6618.76951,0.379666667,662,0.053775463,1.754681549,53875770.9,0.403114847,0.213991693,2,0.272899244,97.25018439,27.21671798
Uruapan,45.68806062,0,5.715027926,4.83711031,2.418555155,0.403502851,70.38972052,6476.117874,0.358,537,0.020645004,1.300123608,13473597.69,0.171556169,0.213991693,1,0.160922863,24.53444301,31.11800786
Cuautla,51.5358925,0.162844037,9.300359332,4.069820992,2.570413258,0.312791136,50.34056602,4460.681129,0.2995,527,0.044820486,1.076086017,31416763.04,0.256579279,0.181199884,0,0.303576381,33.83813311,8.418590304
Cuernavaca,48.64235715,0.214622642,9.291007632,1.647493956,1.956399072,0.405843312,54.37088173,5474.562216,0.287125,661,0.047094737,1.69938114,122219837.4,0.366495032,0.181199884,0,0.284182313,142.091215,20.65404948
Tepic,26.27266784,0.283333333,10.22446821,7.569875357,5.407053826,0.501109754,84.50069348,6627.959893,0.3985,577,0.064641606,2.768849972,28124134.42,0.20335458,0.179872722,0,0.20199938,47.08594735,33.21345145
Monterrey,46.52560842,0.303815695,9.894767972,4.281572613,2.004140372,0.655090226,60.90416393,7547.354904,0.415,851,0.058021822,2.374847949,1435987498,0.410960712,0.149624984,0,0.185818962,2374.454778,31.55144172
